"","ID","habitacao","tempo_res_atual","patrimonio","telefone","proposito","reserva","n_corresponsaveis","classe"
"237",237,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (novo)","desconhecido/semcontapoupança",1,"Ruim"
"238",238,"alugada",2,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","100 - 500",1,"Ruim"
"239",239,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",1,"Bom"
"240",240,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",2,"Bom"
"241",241,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Ruim"
"242",242,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",2,"Bom"
"243",243,"de graça",4,"desconhecido/sem propriedade","Nenhum","carro (usado)","< 100",2,"Ruim"
"244",244,"própria",2,"imobiliária","Nenhum","negócios","< 100",1,"Bom"
"245",245,"própria",3,"imobiliária","Nenhum","reciclagem","500 - 1000",2,"Bom"
"246",246,"própria",1,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"247",247,"própria",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"248",248,"alugada",1,"desconhecido/sem propriedade","Nenhum","carro (novo)","100 - 500",1,"Bom"
"249",249,"própria",2,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"250",250,"alugada",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Ruim"
"251",251,"própria",4,"imobiliária","Sim, registrado em nome do cliente","carro (novo)","> 1000",1,"Bom"
"252",252,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"253",253,"própria",2,"desconhecido/sem propriedade","Nenhum","carro (novo)","< 100",1,"Ruim"
"254",254,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","100 - 500",1,"Bom"
"255",255,"própria",1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"256",256,"própria",1,"imobiliária","Nenhum","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"257",257,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"258",258,"de graça",1,"desconhecido/sem propriedade","Nenhum","rádio/televisão","< 100",1,"Ruim"
"259",259,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","100 - 500",1,"Bom"
"260",260,"própria",4,"imobiliária","Nenhum","rádio/televisão","100 - 500",1,"Bom"
"261",261,"própria",2,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"262",262,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"263",263,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"264",264,"de graça",4,"desconhecido/sem propriedade","Nenhum","educação","< 100",1,"Bom"
"265",265,"própria",4,"imobiliária","Nenhum","carro (novo)","< 100",2,"Bom"
"266",266,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",2,"Ruim"
"267",267,"própria",4,"imobiliária","Nenhum","negócios","desconhecido/semcontapoupança",1,"Bom"
"268",268,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"269",269,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Ruim"
"270",270,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"271",271,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Bom"
"272",272,"alugada",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","500 - 1000",1,"Bom"
"273",273,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","desconhecido/semcontapoupança",1,"Bom"
"274",274,"própria",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Ruim"
"275",275,"própria",1,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","reparos","< 100",1,"Ruim"
"276",276,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",2,"Bom"
"277",277,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"278",278,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"279",279,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"280",280,"alugada",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","100 - 500",1,"Bom"
"281",281,"alugada",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","> 1000",1,"Bom"
"282",282,"própria",2,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"283",283,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"284",284,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"285",285,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","100 - 500",1,"Bom"
"286",286,"própria",1,"imobiliária","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"287",287,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (usado)","< 100",2,"Bom"
"288",288,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","100 - 500",1,"Bom"
"289",289,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"290",290,"própria",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Ruim"
"291",291,"própria",2,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"292",292,"alugada",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Ruim"
"293",293,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",2,"Bom"
"294",294,"de graça",4,"desconhecido/sem propriedade","Nenhum","carro (usado)","< 100",1,"Bom"
"295",295,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","desconhecido/semcontapoupança",2,"Bom"
"296",296,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Ruim"
"297",297,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"298",298,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Bom"
"299",299,"própria",4,"imobiliária","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"300",300,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","> 1000",1,"Bom"
"301",301,"própria",4,"imobiliária","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"302",302,"própria",1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Ruim"
"303",303,"própria",2,"imobiliária","Nenhum","carro (novo)","desconhecido/semcontapoupança",2,"Ruim"
"304",304,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"305",305,"de graça",2,"desconhecido/sem propriedade","Nenhum","carro (novo)","500 - 1000",1,"Ruim"
"306",306,"própria",2,"imobiliária","Nenhum","móveis/equipamentos","> 1000",1,"Bom"
"307",307,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"308",308,"própria",3,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","rádio/televisão","100 - 500",1,"Ruim"
"309",309,"própria",4,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"310",310,"alugada",4,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"311",311,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"312",312,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","100 - 500",1,"Bom"
"313",313,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"314",314,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Ruim"
"315",315,"própria",2,"imobiliária","Nenhum","carro (novo)","desconhecido/semcontapoupança",2,"Bom"
"316",316,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"317",317,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",2,"Bom"
"318",318,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"319",319,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","educação","< 100",1,"Bom"
"320",320,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"321",321,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Ruim"
"322",322,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",1,"Ruim"
"323",323,"de graça",1,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"324",324,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","> 1000",1,"Bom"
"325",325,"própria",3,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"326",326,"própria",4,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"327",327,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"328",328,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","> 1000",2,"Bom"
"329",329,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"330",330,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",2,"Bom"
"331",331,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"332",332,"própria",2,"imobiliária","Nenhum","educação","100 - 500",1,"Ruim"
"333",333,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","100 - 500",1,"Ruim"
"334",334,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (usado)","100 - 500",1,"Ruim"
"335",335,"alugada",4,"desconhecido/sem propriedade","Nenhum","móveis/equipamentos","< 100",2,"Ruim"
"336",336,"alugada",4,"imobiliária","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Ruim"
"337",337,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",1,"Bom"
"338",338,"alugada",2,"carro ou outro, não em conta poupança/títulos","Nenhum","eletrodomésticos","desconhecido/semcontapoupança",1,"Ruim"
"339",339,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"340",340,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"341",341,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","< 100",1,"Bom"
"342",342,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"343",343,"alugada",3,"imobiliária","Nenhum","rádio/televisão","500 - 1000",1,"Bom"
"344",344,"própria",1,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"345",345,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","< 100",2,"Bom"
"346",346,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"347",347,"própria",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"348",348,"alugada",4,"desconhecido/sem propriedade","Nenhum","rádio/televisão","500 - 1000",1,"Bom"
"349",349,"própria",2,"imobiliária","Nenhum","negócios","100 - 500",1,"Bom"
"350",350,"de graça",3,"desconhecido/sem propriedade","Nenhum","educação","> 1000",2,"Ruim"
"351",351,"alugada",4,"imobiliária","Sim, registrado em nome do cliente","eletrodomésticos","< 100",1,"Bom"
"352",352,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"353",353,"própria",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"354",354,"alugada",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Ruim"
"355",355,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","500 - 1000",1,"Bom"
"356",356,"própria",2,"imobiliária","Nenhum","carro (novo)","< 100",1,"Ruim"
"357",357,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"358",358,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Ruim"
"359",359,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"360",360,"alugada",4,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"361",361,"de graça",4,"desconhecido/sem propriedade","Nenhum","educação","desconhecido/semcontapoupança",1,"Bom"
"362",362,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"363",363,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"364",364,"alugada",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"365",365,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"366",366,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"367",367,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (usado)","< 100",1,"Bom"
"368",368,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"369",369,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",2,"Ruim"
"370",370,"alugada",4,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"371",371,"própria",4,"imobiliária","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Bom"
"372",372,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"373",373,"alugada",3,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"374",374,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","desconhecido/semcontapoupança",1,"Bom"
"375",375,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","100 - 500",1,"Ruim"
"376",376,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","< 100",1,"Ruim"
"377",377,"própria",3,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"378",378,"de graça",4,"desconhecido/sem propriedade","Nenhum","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"379",379,"de graça",2,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Ruim"
"380",380,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","100 - 500",1,"Bom"
"381",381,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"382",382,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Ruim"
"383",383,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Bom"
"384",384,"própria",1,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"385",385,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","negócios","100 - 500",1,"Bom"
"386",386,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"387",387,"alugada",2,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"388",388,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"389",389,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","500 - 1000",1,"Bom"
"390",390,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","< 100",1,"Bom"
"391",391,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"392",392,"alugada",4,"imobiliária","Nenhum","móveis/equipamentos","> 1000",1,"Bom"
"393",393,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",2,"Bom"
"394",394,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"395",395,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"396",396,"alugada",3,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","100 - 500",1,"Bom"
"397",397,"de graça",4,"desconhecido/sem propriedade","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"398",398,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"399",399,"alugada",1,"imobiliária","Nenhum","carro (novo)","< 100",1,"Ruim"
"400",400,"própria",1,"imobiliária","Nenhum","rádio/televisão","> 1000",1,"Bom"
"401",401,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"402",402,"própria",4,"imobiliária","Nenhum","negócios","desconhecido/semcontapoupança",1,"Bom"
"403",403,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"404",404,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Bom"
"405",405,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","desconhecido/semcontapoupança",2,"Bom"
"406",406,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Ruim"
"407",407,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",2,"Bom"
"408",408,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"409",409,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","500 - 1000",1,"Bom"
"410",410,"própria",2,"imobiliária","Sim, registrado em nome do cliente","carro (novo)","500 - 1000",1,"Ruim"
"411",411,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"412",412,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"413",413,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"414",414,"alugada",2,"desconhecido/sem propriedade","Nenhum","carro (novo)","500 - 1000",2,"Bom"
"415",415,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Ruim"
"416",416,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (usado)","< 100",2,"Bom"
"417",417,"própria",1,"imobiliária","Nenhum","carro (novo)","< 100",2,"Ruim"
"418",418,"alugada",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","educação","desconhecido/semcontapoupança",1,"Bom"
"419",419,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","500 - 1000",1,"Bom"
"420",420,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Ruim"
"421",421,"alugada",3,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","> 1000",1,"Bom"
"422",422,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"423",423,"própria",3,"imobiliária","Nenhum","carro (novo)","< 100",2,"Bom"
"424",424,"própria",3,"imobiliária","Nenhum","móveis/equipamentos","100 - 500",1,"Bom"
"425",425,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Ruim"
"426",426,"alugada",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"427",427,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"428",428,"própria",3,"imobiliária","Nenhum","rádio/televisão","> 1000",1,"Bom"
"429",429,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"430",430,"de graça",4,"desconhecido/sem propriedade","Nenhum","reparos","< 100",2,"Ruim"
"431",431,"própria",4,"imobiliária","Nenhum","negócios","< 100",1,"Bom"
"432",432,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Ruim"
"433",433,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"434",434,"própria",2,"imobiliária","Sim, registrado em nome do cliente","reparos","< 100",1,"Bom"
"435",435,"própria",2,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"436",436,"própria",1,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Ruim"
"437",437,"alugada",4,"imobiliária","Nenhum","reparos","500 - 1000",1,"Bom"
"438",438,"própria",4,"imobiliária","Sim, registrado em nome do cliente","carro (novo)","> 1000",1,"Bom"
"439",439,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","reparos","< 100",1,"Bom"
"440",440,"própria",1,"imobiliária","Nenhum","negócios","< 100",1,"Ruim"
"441",441,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"442",442,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"443",443,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"444",444,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","educação","< 100",2,"Ruim"
"445",445,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Ruim"
"446",446,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","educação","desconhecido/semcontapoupança",1,"Bom"
"447",447,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Ruim"
"448",448,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"449",449,"própria",4,"imobiliária","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"450",450,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","reparos","> 1000",1,"Ruim"
"451",451,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"452",452,"própria",1,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"453",453,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"454",454,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"455",455,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Ruim"
"456",456,"própria",1,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"457",457,"alugada",2,"imobiliária","Nenhum","carro (novo)","< 100",2,"Bom"
"458",458,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Ruim"
"459",459,"própria",1,"imobiliária","Nenhum","eletrodomésticos","< 100",1,"Bom"
"460",460,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"461",461,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",2,"Bom"
"462",462,"própria",3,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"463",463,"alugada",1,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"464",464,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","reciclagem","desconhecido/semcontapoupança",1,"Bom"
"465",465,"própria",1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"466",466,"própria",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",2,"Bom"
"467",467,"alugada",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Ruim"
"468",468,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","desconhecido/semcontapoupança",2,"Bom"
"469",469,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"470",470,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"471",471,"alugada",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","100 - 500",1,"Ruim"
"472",472,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","educação","< 100",1,"Ruim"
"473",473,"própria",3,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Ruim"
"474",474,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","reciclagem","desconhecido/semcontapoupança",2,"Bom"
