"","X","status_conta","duracao_mes","hist_credito","proposito","qtdd_credito","reserva","temp_man_empr_atual","percen_tx_rendim_disp","genero","estado_civil","dev_fiadores","tempo_res_atual","patrimonio","idade_anos","outros_par","habitacao","n_creditos","status_ocupacional","n_corresponsaveis","telefone","estrangeiro","classe","ID"
"271",271,"Inexistente",18,"Pago em dia","carro (novo)",2662,"Desconhecido/Inexistente","4 - 7",4,"Homem"," solteiro","nenhum",3,"Poupança/
Seguro de vida",32,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Não","Bom",271
"272",272,"Inexistente",12,"Pendente (outros bancos)","móveis/equipamentos",1402,"500 - 1000","4 - 7",3,"Mulher","uniao registrada","nenhum",4,"Carro/outro",37,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",272
"273",273,"Regular",48,"Quitados","carro (novo)",12169,"Desconhecido/Inexistente","desempregado",4,"Homem"," solteiro","co-requerente",4,"Sem posses/
desconhecido",36,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",273
"274",274,"Regular",48,"Pago em dia","rádio/televisão",3060,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",4,"Imóvel",28,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",274
"275",275,"Negativo",30,"Pago em dia","reparos",11998,"< 100","...<1ano",1,"Homem","uniao registrada","nenhum",1,"Sem posses/
desconhecido",34,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",275
"276",276,"Inexistente",9,"Pago em dia","rádio/televisão",2697,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",2,"Imóvel",32,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",276
"277",277,"Inexistente",18,"Pendente (outros bancos)","rádio/televisão",2404,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"Carro/outro",26,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",277
"278",278,"Negativo",12,"Pago em dia","móveis/equipamentos",1262,"Desconhecido/Inexistente","> 7",2,"Homem","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",49,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",278
"279",279,"Inexistente",6,"Pago em dia","móveis/equipamentos",4611,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",32,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",279
"280",280,"Inexistente",24,"Pago em dia","rádio/televisão",1901,"100 - 500","1 - 4",4,"Homem"," solteiro","nenhum",4,"Carro/outro",29,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",280
"281",281,"Inexistente",15,"Pendente (outros bancos)","carro (usado)",3368,"> 1000","> 7",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",23,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",281
"282",282,"Inexistente",12,"Pago em dia","móveis/equipamentos",1574,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"Imóvel",50,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",282
"283",283,"Alto",18,"Quitados","rádio/televisão",1445,"Desconhecido/Inexistente","4 - 7",4,"Homem"," solteiro","nenhum",4,"Carro/outro",49,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",283
"284",284,"Inexistente",15,"Pendente (outros bancos)","móveis/equipamentos",1520,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",63,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",284
"285",285,"Regular",24,"Pendente (outros bancos)","carro (novo)",3878,"100 - 500","...<1ano",4,"Homem","uniao registrada","nenhum",2,"Carro/outro",37,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",285
"286",286,"Negativo",47,"Pago em dia","carro (novo)",10722,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",1,"Imóvel",35,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",286
"287",287,"Negativo",48,"Pago em dia","carro (usado)",4788,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",3,"Poupança/
Seguro de vida",26,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",287
"288",288,"Regular",48,"Pago mas já esteve em atraso","carro (usado)",7582,"100 - 500","desempregado",2,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",31,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",288
"289",289,"Regular",12,"Pago em dia","rádio/televisão",1092,"< 100","1 - 4",4,"Mulher","uniao registrada","fiador",4,"Imóvel",49,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",289
"290",290,"Negativo",24,"Pago mas já esteve em atraso","rádio/televisão",1024,"< 100","...<1ano",4,"Homem","uniao registrada","nenhum",4,"Imóvel",48,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",290
"291",291,"Inexistente",12,"Pago em dia","negócios",1076,"< 100","1 - 4",2,"Homem","uniao registrada","nenhum",2,"Imóvel",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Não","Bom",291
"292",292,"Regular",36,"Pago em dia","carro (usado)",9398,"< 100","...<1ano",1,"Homem","uniao registrada","nenhum",4,"Carro/outro",28,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",292
"293",293,"Negativo",24,"Pendente (outros bancos)","carro (usado)",6419,"< 100","> 7",2,"Mulher","uniao registrada","nenhum",4,"Sem posses/
desconhecido",44,"nenhum","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",293
"294",294,"Alto",42,"Pendente (outros bancos)","carro (usado)",4796,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",56,"nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",294
"295",295,"Inexistente",48,"Pendente (outros bancos)","negócios",7629,"Desconhecido/Inexistente","> 7",4,"Homem","uniao registrada","nenhum",2,"Carro/outro",46,"banco","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Nenhum","Sim","Bom",295
"296",296,"Regular",48,"Pago em dia","móveis/equipamentos",9960,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",2,"Carro/outro",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",296
"297",297,"Inexistente",12,"Pago em dia","carro (usado)",4675,"Desconhecido/Inexistente","...<1ano",1,"Mulher","uniao registrada","nenhum",4,"Carro/outro",20,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",297
"298",298,"Inexistente",10,"Pago em dia","carro (novo)",1287,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","co-requerente",2,"Poupança/
Seguro de vida",45,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Não","Bom",298
"299",299,"Inexistente",18,"Pago em dia","móveis/equipamentos",2515,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",4,"Imóvel",43,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",299
"300",300,"Regular",21,"Pendente (outros bancos)","móveis/equipamentos",2745,"> 1000","4 - 7",3,"Homem"," solteiro","nenhum",2,"Carro/outro",32,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",300
"301",301,"Inexistente",6,"Pago em dia","carro (novo)",672,"< 100","desempregado",1,"Mulher","uniao registrada","nenhum",4,"Imóvel",54,"nenhum","própria",1,"desempregado/não qualificado - não residente",1,"Sim, registrado em nome do cliente","Sim","Bom",301
"302",302,"Regular",36,"Quitados","rádio/televisão",3804,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",1,"Carro/outro",42,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",302
"303",303,"Alto",24,"Pendente (outros bancos)","carro (novo)",1344,"Desconhecido/Inexistente","4 - 7",4,"Homem"," solteiro","nenhum",2,"Imóvel",37,"banco","própria",2,"não qualificado - residente",2,"Nenhum","Sim","Ruim",303
"304",304,"Negativo",10,"Pendente (outros bancos)","carro (novo)",1038,"< 100","4 - 7",4,"Homem"," solteiro","co-requerente",3,"Poupança/
Seguro de vida",49,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",304
"305",305,"Inexistente",48,"Pendente (outros bancos)","carro (novo)",10127,"500 - 1000","1 - 4",2,"Homem"," solteiro","nenhum",2,"Sem posses/
desconhecido",44,"banco","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",305
"306",306,"Inexistente",6,"Pago em dia","móveis/equipamentos",1543,"> 1000","1 - 4",4,"Homem","uniao registrada","nenhum",2,"Imóvel",33,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",306
"307",307,"Inexistente",30,"Pago em dia","carro (usado)",4811,"Desconhecido/Inexistente","4 - 7",2,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",24,"lojas","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",307
"308",308,"Negativo",12,"Pago em dia","rádio/televisão",727,"100 - 500","...<1ano",4,"Homem","uniao registrada","nenhum",3,"Sem posses/
desconhecido",33,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",308
"309",309,"Regular",8,"Pago em dia","móveis/equipamentos",1237,"< 100","1 - 4",3,"Mulher","uniao registrada","nenhum",4,"Imóvel",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",309
"310",310,"Regular",9,"Pago em dia","carro (novo)",276,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",4,"Imóvel",22,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",310
"311",311,"Regular",48,"Pago em dia","carro (usado)",5381,"Desconhecido/Inexistente","desempregado",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",40,"banco","de graça",1,"desempregado/não qualificado - não residente",1,"Sim, registrado em nome do cliente","Sim","Bom",311
"312",312,"Inexistente",24,"Pago em dia","móveis/equipamentos",5511,"100 - 500","1 - 4",4,"Homem"," solteiro","nenhum",1,"Carro/outro",25,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",312
"313",313,"Alto",24,"Pago em dia","móveis/equipamentos",3749,"< 100","...<1ano",2,"Mulher","uniao registrada","nenhum",4,"Carro/outro",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",313
"314",314,"Regular",12,"Pago em dia","carro (novo)",685,"< 100","4 - 7",2,"Homem","uniao registrada","nenhum",3,"Carro/outro",25,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",314
"315",315,"Alto",4,"Pago em dia","carro (novo)",1494,"Desconhecido/Inexistente","...<1ano",1,"Homem"," solteiro","nenhum",2,"Imóvel",29,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Não","Bom",315
"316",316,"Negativo",36,"Quitados","móveis/equipamentos",2746,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Carro/outro",31,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",316
"317",317,"Negativo",12,"Pago em dia","móveis/equipamentos",708,"< 100","1 - 4",2,"Homem"," solteiro","fiador",3,"Poupança/
Seguro de vida",38,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",317
"318",318,"Regular",24,"Pago em dia","móveis/equipamentos",4351,"Desconhecido/Inexistente","1 - 4",1,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",48,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",318
"319",319,"Inexistente",12,"Pendente (outros bancos)","educação",701,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"Carro/outro",32,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",319
"320",320,"Negativo",15,"Pago mas já esteve em atraso","móveis/equipamentos",3643,"< 100","> 7",1,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",27,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",320
"321",321,"Regular",30,"Pendente (outros bancos)","carro (novo)",4249,"< 100","desempregado",4,"Homem","uniao registrada","nenhum",2,"Carro/outro",28,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Ruim",321
"322",322,"Negativo",24,"Pago em dia","rádio/televisão",1938,"< 100","...<1ano",4,"Homem","uniao registrada","nenhum",3,"Poupança/
Seguro de vida",32,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",322
"323",323,"Negativo",24,"Pago em dia","carro (usado)",2910,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",1,"Sem posses/
desconhecido",34,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",323
"324",324,"Negativo",18,"Pago em dia","móveis/equipamentos",2659,"> 1000","1 - 4",4,"Homem"," solteiro","nenhum",2,"Carro/outro",28,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",324
"325",325,"Inexistente",18,"Pendente (outros bancos)","carro (novo)",1028,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",3,"Imóvel",36,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",325
"326",326,"Negativo",8,"Pendente (outros bancos)","carro (novo)",3398,"< 100","4 - 7",1,"Homem"," solteiro","nenhum",4,"Imóvel",39,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Não","Bom",326
"327",327,"Inexistente",12,"Pendente (outros bancos)","móveis/equipamentos",5801,"Desconhecido/Inexistente","> 7",2,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",49,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",327
"328",328,"Inexistente",24,"Pago em dia","carro (novo)",1525,"> 1000","4 - 7",4,"Mulher","uniao registrada","nenhum",3,"Carro/outro",34,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",328
"329",329,"Alto",36,"Pago em dia","rádio/televisão",4473,"< 100","> 7",4,"Homem"," solteiro","nenhum",2,"Carro/outro",31,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",329
"330",330,"Regular",6,"Pago em dia","rádio/televisão",1068,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Carro/outro",28,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",330
"331",331,"Negativo",24,"Pendente (outros bancos)","carro (usado)",6615,"< 100","desempregado",2,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",75,"nenhum","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",331
"332",332,"Inexistente",18,"Pendente (outros bancos)","educação",1864,"100 - 500","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"Imóvel",30,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",332
"333",333,"Regular",60,"Pago em dia","carro (novo)",7408,"100 - 500","...<1ano",4,"Mulher","uniao registrada","nenhum",2,"Poupança/
Seguro de vida",24,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Ruim",333
"334",334,"Inexistente",48,"Pendente (outros bancos)","carro (usado)",11590,"100 - 500","1 - 4",2,"Mulher","uniao registrada","nenhum",4,"Carro/outro",24,"banco","alugada",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",334
"335",335,"Negativo",24,"Quitados","móveis/equipamentos",4110,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",23,"banco","alugada",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",335
"336",336,"Negativo",6,"Pendente (outros bancos)","móveis/equipamentos",3384,"< 100","1 - 4",1,"Homem","uniao registrada","nenhum",4,"Imóvel",44,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",336
"337",337,"Regular",13,"Pago em dia","rádio/televisão",2101,"< 100","...<1ano",2,"Mulher","uniao registrada","fiador",4,"Poupança/
Seguro de vida",23,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",337
"338",338,"Negativo",15,"Pago em dia","eletrodomésticos",1275,"Desconhecido/Inexistente","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"Carro/outro",24,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",338
"339",339,"Negativo",24,"Pago em dia","móveis/equipamentos",4169,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",28,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",339
"340",340,"Regular",10,"Pago em dia","móveis/equipamentos",1521,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",2,"Carro/outro",31,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",340
"341",341,"Regular",24,"Pendente (outros bancos)","educação",5743,"< 100","...<1ano",2,"Mulher","uniao registrada","nenhum",4,"Sem posses/
desconhecido",24,"nenhum","de graça",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",341
"342",342,"Negativo",21,"Pago em dia","móveis/equipamentos",3599,"< 100","4 - 7",1,"Mulher","uniao registrada","nenhum",4,"Carro/outro",26,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",342
"343",343,"Regular",18,"Pago em dia","rádio/televisão",3213,"500 - 1000","...<1ano",1,"Homem","uniao registrada","nenhum",3,"Imóvel",25,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",343
"344",344,"Regular",18,"Pago em dia","negócios",4439,"< 100","> 7",1,"Homem"," solteiro","co-requerente",1,"Imóvel",33,"banco","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",344
"345",345,"Alto",10,"Pago em dia","carro (novo)",3949,"< 100","...<1ano",1,"Homem"," solteiro","fiador",1,"Poupança/
Seguro de vida",37,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",345
"346",346,"Inexistente",15,"Pendente (outros bancos)","rádio/televisão",1459,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"Carro/outro",43,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",346
"347",347,"Regular",13,"Pendente (outros bancos)","rádio/televisão",882,"< 100","...<1ano",4,"Homem"," solteiro","fiador",4,"Imóvel",23,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",347
"348",348,"Regular",24,"Pago em dia","rádio/televisão",3758,"500 - 1000","desempregado",1,"Mulher","uniao registrada","nenhum",4,"Sem posses/
desconhecido",23,"nenhum","alugada",1,"desempregado/não qualificado - não residente",1,"Nenhum","Sim","Bom",348
"349",349,"Inexistente",6,"Pago mas já esteve em atraso","negócios",1743,"100 - 500","1 - 4",1,"Homem"," solteiro","nenhum",2,"Imóvel",34,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",349
"350",350,"Regular",9,"Pendente (outros bancos)","educação",1136,"> 1000","> 7",4,"Homem"," solteiro","nenhum",3,"Sem posses/
desconhecido",32,"nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",350
"351",351,"Inexistente",9,"Pago em dia","eletrodomésticos",1236,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",4,"Imóvel",23,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",351
"352",352,"Regular",9,"Pago em dia","móveis/equipamentos",959,"< 100","1 - 4",1,"Mulher","uniao registrada","nenhum",2,"Carro/outro",29,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Não","Ruim",352
"353",353,"Inexistente",18,"Pendente (outros bancos)","carro (usado)",3229,"Desconhecido/Inexistente","desempregado",2,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",38,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",353
"354",354,"Negativo",12,"Quitados","rádio/televisão",6199,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",28,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",354
"355",355,"Inexistente",10,"Pago em dia","educação",727,"500 - 1000","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",46,"nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",355
"356",356,"Regular",24,"Pago em dia","carro (novo)",1246,"< 100","...<1ano",4,"Homem"," solteiro","nenhum",2,"Imóvel",23,"lojas","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",356
"357",357,"Inexistente",12,"Pendente (outros bancos)","rádio/televisão",2331,"Desconhecido/Inexistente","> 7",1,"Homem"," solteiro","co-requerente",4,"Imóvel",49,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",357
"358",358,"Inexistente",36,"Pago mas já esteve em atraso","rádio/televisão",4463,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"Carro/outro",26,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",358
"359",359,"Inexistente",12,"Pago em dia","rádio/televisão",776,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",2,"Imóvel",28,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",359
"360",360,"Negativo",30,"Pago em dia","móveis/equipamentos",2406,"< 100","4 - 7",4,"Mulher","uniao registrada","nenhum",4,"Imóvel",23,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",360
"361",361,"Regular",18,"Pago em dia","educação",1239,"Desconhecido/Inexistente","1 - 4",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",61,"nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",361
"362",362,"Alto",12,"Pago em dia","rádio/televisão",3399,"Desconhecido/Inexistente","> 7",2,"Homem"," solteiro","nenhum",3,"Carro/outro",37,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",362
"363",363,"Alto",12,"Pago mas já esteve em atraso","carro (novo)",2247,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"Carro/outro",36,"lojas","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",363
"364",364,"Inexistente",6,"Pago em dia","móveis/equipamentos",1766,"< 100","1 - 4",1,"Homem","uniao registrada","nenhum",2,"Poupança/
Seguro de vida",21,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",364
"365",365,"Negativo",18,"Pago em dia","móveis/equipamentos",2473,"< 100","desempregado",4,"Homem"," solteiro","nenhum",1,"Carro/outro",25,"nenhum","própria",1,"desempregado/não qualificado - não residente",1,"Nenhum","Sim","Ruim",365
"366",366,"Inexistente",12,"Pago em dia","negócios",1542,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",4,"Carro/outro",36,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",366
"367",367,"Inexistente",18,"Pendente (outros bancos)","carro (usado)",3850,"< 100","4 - 7",3,"Homem"," solteiro","nenhum",1,"Carro/outro",27,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",367
"368",368,"Negativo",18,"Pago em dia","móveis/equipamentos",3650,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",4,"Carro/outro",22,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",368
"369",369,"Negativo",36,"Pago em dia","móveis/equipamentos",3446,"< 100","> 7",4,"Homem"," solteiro","nenhum",2,"Carro/outro",42,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",369
"370",370,"Regular",18,"Pago em dia","móveis/equipamentos",3001,"< 100","4 - 7",2,"Mulher","uniao registrada","nenhum",4,"Imóvel",40,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",370
"371",371,"Inexistente",36,"Pago em dia","carro (novo)",3079,"Desconhecido/Inexistente","1 - 4",4,"Homem"," solteiro","nenhum",4,"Imóvel",36,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",371
"372",372,"Inexistente",18,"Pendente (outros bancos)","rádio/televisão",6070,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"Carro/outro",33,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",372
"373",373,"Inexistente",10,"Pendente (outros bancos)","móveis/equipamentos",2146,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",3,"Imóvel",23,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",373
"374",374,"Inexistente",60,"Pendente (outros bancos)","carro (novo)",13756,"Desconhecido/Inexistente","> 7",2,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",63,"banco","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",374
"375",375,"Regular",60,"Quitados","carro (usado)",14782,"100 - 500","> 7",3,"Mulher","uniao registrada","nenhum",4,"Sem posses/
desconhecido",60,"banco","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",375
"376",376,"Negativo",48,"Quitados","negócios",7685,"< 100","4 - 7",2,"Mulher","uniao registrada","fiador",4,"Carro/outro",37,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",376
"377",377,"Inexistente",18,"Pago mas já esteve em atraso","rádio/televisão",2320,"< 100","desempregado",2,"Homem","uniao registrada","nenhum",3,"Imóvel",34,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",377
