"","status_conta","duracao_mes","hist_credito","proposito","qtdd_credito","reserva","temp_man_empr_atual","percen_tx_rendim_disp","genero","estado_civil","dev_fiadores","tempo_res_atual","patrimonio","idade_anos","outros_par","habitacao","n_creditos","status_ocupacional","n_corresponsaveis","telefone","estrangeiro","classe","ID"
"226","Inexistente",36,"Quitados","reparos",2613,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",27,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",226
"227","Regular",48,"Pago em dia","rádio/televisão",10961,"> 1000","4 - 7",1,"Homem"," solteiro","co-requerente",2,"desconhecido/sem propriedade",27,"banco","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",227
"228","Negativo",12,"Pago em dia","móveis/equipamentos",7865,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",53,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",228
"229","Inexistente",9,"Pago em dia","rádio/televisão",1478,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",229
"230","Negativo",24,"Pago em dia","móveis/equipamentos",3149,"< 100","...<1ano",4,"Homem"," solteiro","nenhum",1,"desconhecido/sem propriedade",22,"banco","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",230
"231","Alto",36,"Pago em dia","rádio/televisão",4210,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",231
"232","Inexistente",9,"Pago em dia","carro (novo)",2507,"500 - 1000","> 7",2,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",51,"nenhum","de graça",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",232
"233","Inexistente",12,"Pago em dia","rádio/televisão",2141,"100 - 500","4 - 7",3,"Homem"," solteiro","nenhum",1,"desconhecido/sem propriedade",35,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",233
"234","Regular",18,"Pago em dia","rádio/televisão",866,"< 100","1 - 4",4,"Homem","uniao registrada","fiador",2,"imobiliária",25,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",234
"235","Inexistente",4,"Pendente (outros bancos)","rádio/televisão",1544,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",1,"imobiliária",42,"nenhum","própria",3,"não qualificado - residente",2,"Nenhum","Sim","Bom",235
"236","Negativo",24,"Pago em dia","rádio/televisão",1823,"< 100","desempregado",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",30,"lojas","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Nenhum","Sim","Ruim",236
"237","Regular",6,"Pago em dia","carro (novo)",14555,"desconhecido/semcontapoupança","desempregado",1,"Homem"," solteiro","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",23,"nenhum","própria",1,"desempregado/não qualificado - não residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",237
"238","Regular",21,"Pago em dia","negócios",2767,"100 - 500","> 7",4,"Homem","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",61,"banco","alugada",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",238
"239","Inexistente",12,"Pendente (outros bancos)","rádio/televisão",1291,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",35,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",239
"240","Negativo",30,"Pago em dia","rádio/televisão",2522,"< 100","> 7",1,"Homem"," solteiro","fiador",3,"contrato de poupança/seguro de vida da sociedade civil",39,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",240
"241","Negativo",24,"Pago em dia","carro (novo)",915,"desconhecido/semcontapoupança","> 7",4,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",29,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",241
"242","Inexistente",6,"Pago em dia","rádio/televisão",1595,"< 100","4 - 7",3,"Homem"," solteiro","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",51,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",242
"243","Negativo",48,"Quitados","carro (usado)",4605,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",24,"nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",243
"244","Inexistente",12,"Pendente (outros bancos)","negócios",1185,"< 100","1 - 4",3,"Mulher","uniao registrada","nenhum",2,"imobiliária",27,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",244
"245","Inexistente",12,"Quitados","reciclagem",3447,"500 - 1000","1 - 4",4,"Mulher","uniao registrada","nenhum",3,"imobiliária",35,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",245
"246","Inexistente",24,"Pago em dia","negócios",1258,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",1,"imobiliária",25,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",246
"247","Inexistente",12,"Pendente (outros bancos)","rádio/televisão",717,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"imobiliária",52,"nenhum","própria",3,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",247
"248","Inexistente",6,"Quitados","carro (novo)",1204,"100 - 500","1 - 4",4,"Homem"," solteiro","nenhum",1,"desconhecido/sem propriedade",35,"banco","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Não","Bom",248
"249","Alto",24,"Pago em dia","móveis/equipamentos",1925,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"imobiliária",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",249
"250","Inexistente",18,"Pago em dia","rádio/televisão",433,"< 100","desempregado",3,"Mulher","uniao registrada","co-requerente",4,"imobiliária",22,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",250
"251","Negativo",6,"Pendente (outros bancos)","carro (novo)",666,"> 1000","4 - 7",3,"Mulher","uniao registrada","nenhum",4,"imobiliária",39,"nenhum","própria",2,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",251
"252","Alto",12,"Pago em dia","móveis/equipamentos",2251,"< 100","1 - 4",1,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",46,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",252
"253","Regular",30,"Pago em dia","carro (novo)",2150,"< 100","1 - 4",4,"Mulher","uniao registrada","fiador",2,"desconhecido/sem propriedade",24,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",253
"254","Inexistente",24,"Pago mas já esteve em atraso","móveis/equipamentos",4151,"100 - 500","1 - 4",2,"Homem"," solteiro","nenhum",3,"contrato de poupança/seguro de vida da sociedade civil",35,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",254
"255","Regular",9,"Pago em dia","móveis/equipamentos",2030,"desconhecido/semcontapoupança","4 - 7",2,"Homem"," solteiro","nenhum",1,"carro ou outro, não em conta poupança/títulos",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",255
"256","Regular",60,"Pago mas já esteve em atraso","rádio/televisão",7418,"desconhecido/semcontapoupança","1 - 4",1,"Homem"," solteiro","nenhum",1,"imobiliária",27,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",256
"257","Inexistente",24,"Pendente (outros bancos)","rádio/televisão",2684,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"imobiliária",35,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",257
"258","Negativo",12,"Quitados","rádio/televisão",2149,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",1,"desconhecido/sem propriedade",29,"nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",258
"259","Inexistente",15,"Pago em dia","carro (usado)",3812,"100 - 500","...<1ano",1,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",23,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",259
"260","Inexistente",11,"Pendente (outros bancos)","rádio/televisão",1154,"100 - 500","desempregado",4,"Mulher","uniao registrada","nenhum",4,"imobiliária",57,"nenhum","própria",3,"não qualificado - residente",1,"Nenhum","Sim","Bom",260
"261","Negativo",12,"Pago em dia","móveis/equipamentos",1657,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"imobiliária",27,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",261
"262","Negativo",24,"Pago em dia","rádio/televisão",1603,"< 100","> 7",4,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",55,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",262
"263","Negativo",18,"Pendente (outros bancos)","carro (novo)",5302,"< 100","> 7",2,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",36,"nenhum","de graça",3,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",263
"264","Inexistente",12,"Pendente (outros bancos)","educação",2748,"< 100","> 7",2,"Mulher","uniao registrada","nenhum",4,"desconhecido/sem propriedade",57,"banco","de graça",3,"não qualificado - residente",1,"Nenhum","Sim","Bom",264
"265","Inexistente",10,"Pendente (outros bancos)","carro (novo)",1231,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"imobiliária",32,"nenhum","própria",2,"não qualificado - residente",2,"Nenhum","Não","Bom",265
"266","Regular",15,"Pago em dia","rádio/televisão",802,"< 100","> 7",4,"Homem"," solteiro","nenhum",3,"carro ou outro, não em conta poupança/títulos",37,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Ruim",266
"267","Inexistente",36,"Pendente (outros bancos)","negócios",6304,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",4,"imobiliária",36,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",267
"268","Inexistente",24,"Pago em dia","rádio/televisão",1533,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",3,"carro ou outro, não em conta poupança/títulos",38,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",268
"269","Negativo",14,"Pago em dia","carro (novo)",8978,"< 100","> 7",1,"Homem","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",45,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Não","Ruim",269
"270","Inexistente",24,"Pago em dia","rádio/televisão",999,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",25,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",270
"271","Inexistente",18,"Pago em dia","carro (novo)",2662,"desconhecido/semcontapoupança","4 - 7",4,"Homem"," solteiro","nenhum",3,"contrato de poupança/seguro de vida da sociedade civil",32,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Não","Bom",271
"272","Inexistente",12,"Pendente (outros bancos)","móveis/equipamentos",1402,"500 - 1000","4 - 7",3,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",37,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",272
"273","Regular",48,"Quitados","carro (novo)",12169,"desconhecido/semcontapoupança","desempregado",4,"Homem"," solteiro","co-requerente",4,"desconhecido/sem propriedade",36,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",273
"274","Regular",48,"Pago em dia","rádio/televisão",3060,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",4,"imobiliária",28,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",274
"275","Negativo",30,"Pago em dia","reparos",11998,"< 100","...<1ano",1,"Homem","uniao registrada","nenhum",1,"desconhecido/sem propriedade",34,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",275
"276","Inexistente",9,"Pago em dia","rádio/televisão",2697,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",2,"imobiliária",32,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",276
"277","Inexistente",18,"Pendente (outros bancos)","rádio/televisão",2404,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",26,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",277
"278","Negativo",12,"Pago em dia","móveis/equipamentos",1262,"desconhecido/semcontapoupança","> 7",2,"Homem","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",49,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",278
"279","Inexistente",6,"Pago em dia","móveis/equipamentos",4611,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",32,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",279
"280","Inexistente",24,"Pago em dia","rádio/televisão",1901,"100 - 500","1 - 4",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",29,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",280
"281","Inexistente",15,"Pendente (outros bancos)","carro (usado)",3368,"> 1000","> 7",3,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",23,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",281
"282","Inexistente",12,"Pago em dia","móveis/equipamentos",1574,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"imobiliária",50,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",282
"283","Alto",18,"Quitados","rádio/televisão",1445,"desconhecido/semcontapoupança","4 - 7",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",49,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",283
"284","Inexistente",15,"Pendente (outros bancos)","móveis/equipamentos",1520,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",63,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",284
"285","Regular",24,"Pendente (outros bancos)","carro (novo)",3878,"100 - 500","...<1ano",4,"Homem","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",37,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",285
"286","Negativo",47,"Pago em dia","carro (novo)",10722,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",1,"imobiliária",35,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",286
"287","Negativo",48,"Pago em dia","carro (usado)",4788,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",3,"contrato de poupança/seguro de vida da sociedade civil",26,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",287
"288","Regular",48,"Pago mas já esteve em atraso","carro (usado)",7582,"100 - 500","desempregado",2,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",31,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",288
"289","Regular",12,"Pago em dia","rádio/televisão",1092,"< 100","1 - 4",4,"Mulher","uniao registrada","fiador",4,"imobiliária",49,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",289
"290","Negativo",24,"Pago mas já esteve em atraso","rádio/televisão",1024,"< 100","...<1ano",4,"Homem","uniao registrada","nenhum",4,"imobiliária",48,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",290
"291","Inexistente",12,"Pago em dia","negócios",1076,"< 100","1 - 4",2,"Homem","uniao registrada","nenhum",2,"imobiliária",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Não","Bom",291
"292","Regular",36,"Pago em dia","carro (usado)",9398,"< 100","...<1ano",1,"Homem","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",28,"nenhum","alugada",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",292
"293","Negativo",24,"Pendente (outros bancos)","carro (usado)",6419,"< 100","> 7",2,"Mulher","uniao registrada","nenhum",4,"desconhecido/sem propriedade",44,"nenhum","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",293
"294","Alto",42,"Pendente (outros bancos)","carro (usado)",4796,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",56,"nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",294
"295","Inexistente",48,"Pendente (outros bancos)","negócios",7629,"desconhecido/semcontapoupança","> 7",4,"Homem","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",46,"banco","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Nenhum","Sim","Bom",295
"296","Regular",48,"Pago em dia","móveis/equipamentos",9960,"< 100","...<1ano",1,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",296
"297","Inexistente",12,"Pago em dia","carro (usado)",4675,"desconhecido/semcontapoupança","...<1ano",1,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",20,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",297
"298","Inexistente",10,"Pago em dia","carro (novo)",1287,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","co-requerente",2,"contrato de poupança/seguro de vida da sociedade civil",45,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Não","Bom",298
"299","Inexistente",18,"Pago em dia","móveis/equipamentos",2515,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",4,"imobiliária",43,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",299
"300","Regular",21,"Pendente (outros bancos)","móveis/equipamentos",2745,"> 1000","4 - 7",3,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",32,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",300
"301","Inexistente",6,"Pago em dia","carro (novo)",672,"< 100","desempregado",1,"Mulher","uniao registrada","nenhum",4,"imobiliária",54,"nenhum","própria",1,"desempregado/não qualificado - não residente",1,"Sim, registrado em nome do cliente","Sim","Bom",301
"302","Regular",36,"Quitados","rádio/televisão",3804,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",1,"carro ou outro, não em conta poupança/títulos",42,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",302
"303","Alto",24,"Pendente (outros bancos)","carro (novo)",1344,"desconhecido/semcontapoupança","4 - 7",4,"Homem"," solteiro","nenhum",2,"imobiliária",37,"banco","própria",2,"não qualificado - residente",2,"Nenhum","Sim","Ruim",303
"304","Negativo",10,"Pendente (outros bancos)","carro (novo)",1038,"< 100","4 - 7",4,"Homem"," solteiro","co-requerente",3,"contrato de poupança/seguro de vida da sociedade civil",49,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",304
"305","Inexistente",48,"Pendente (outros bancos)","carro (novo)",10127,"500 - 1000","1 - 4",2,"Homem"," solteiro","nenhum",2,"desconhecido/sem propriedade",44,"banco","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",305
"306","Inexistente",6,"Pago em dia","móveis/equipamentos",1543,"> 1000","1 - 4",4,"Homem","uniao registrada","nenhum",2,"imobiliária",33,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",306
"307","Inexistente",30,"Pago em dia","carro (usado)",4811,"desconhecido/semcontapoupança","4 - 7",2,"Mulher","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",24,"lojas","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",307
"308","Negativo",12,"Pago em dia","rádio/televisão",727,"100 - 500","...<1ano",4,"Homem","uniao registrada","nenhum",3,"desconhecido/sem propriedade",33,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",308
"309","Regular",8,"Pago em dia","móveis/equipamentos",1237,"< 100","1 - 4",3,"Mulher","uniao registrada","nenhum",4,"imobiliária",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",309
"310","Regular",9,"Pago em dia","carro (novo)",276,"< 100","1 - 4",4,"Homem","uniao registrada","nenhum",4,"imobiliária",22,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",310
"311","Regular",48,"Pago em dia","carro (usado)",5381,"desconhecido/semcontapoupança","desempregado",3,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",40,"banco","de graça",1,"desempregado/não qualificado - não residente",1,"Sim, registrado em nome do cliente","Sim","Bom",311
"312","Inexistente",24,"Pago em dia","móveis/equipamentos",5511,"100 - 500","1 - 4",4,"Homem"," solteiro","nenhum",1,"carro ou outro, não em conta poupança/títulos",25,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",312
"313","Alto",24,"Pago em dia","móveis/equipamentos",3749,"< 100","...<1ano",2,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",313
"314","Regular",12,"Pago em dia","carro (novo)",685,"< 100","4 - 7",2,"Homem","uniao registrada","nenhum",3,"carro ou outro, não em conta poupança/títulos",25,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",314
"315","Alto",4,"Pago em dia","carro (novo)",1494,"desconhecido/semcontapoupança","...<1ano",1,"Homem"," solteiro","nenhum",2,"imobiliária",29,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Não","Bom",315
"316","Negativo",36,"Quitados","móveis/equipamentos",2746,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",31,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",316
"317","Negativo",12,"Pago em dia","móveis/equipamentos",708,"< 100","1 - 4",2,"Homem"," solteiro","fiador",3,"contrato de poupança/seguro de vida da sociedade civil",38,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",317
"318","Regular",24,"Pago em dia","móveis/equipamentos",4351,"desconhecido/semcontapoupança","1 - 4",1,"Mulher","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",48,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",318
"319","Inexistente",12,"Pendente (outros bancos)","educação",701,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",32,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",319
"320","Negativo",15,"Pago mas já esteve em atraso","móveis/equipamentos",3643,"< 100","> 7",1,"Mulher","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",27,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",320
"321","Regular",30,"Pendente (outros bancos)","carro (novo)",4249,"< 100","desempregado",4,"Homem","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",28,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Ruim",321
"322","Negativo",24,"Pago em dia","rádio/televisão",1938,"< 100","...<1ano",4,"Homem","uniao registrada","nenhum",3,"contrato de poupança/seguro de vida da sociedade civil",32,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",322
"323","Negativo",24,"Pago em dia","carro (usado)",2910,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",1,"desconhecido/sem propriedade",34,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",323
"324","Negativo",18,"Pago em dia","móveis/equipamentos",2659,"> 1000","1 - 4",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",28,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",324
"325","Inexistente",18,"Pendente (outros bancos)","carro (novo)",1028,"< 100","1 - 4",4,"Mulher","uniao registrada","nenhum",3,"imobiliária",36,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",325
"326","Negativo",8,"Pendente (outros bancos)","carro (novo)",3398,"< 100","4 - 7",1,"Homem"," solteiro","nenhum",4,"imobiliária",39,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Não","Bom",326
"327","Inexistente",12,"Pendente (outros bancos)","móveis/equipamentos",5801,"desconhecido/semcontapoupança","> 7",2,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",49,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",327
"328","Inexistente",24,"Pago em dia","carro (novo)",1525,"> 1000","4 - 7",4,"Mulher","uniao registrada","nenhum",3,"carro ou outro, não em conta poupança/títulos",34,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",328
"329","Alto",36,"Pago em dia","rádio/televisão",4473,"< 100","> 7",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",31,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",329
"330","Regular",6,"Pago em dia","rádio/televisão",1068,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",28,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",330
"331","Negativo",24,"Pendente (outros bancos)","carro (usado)",6615,"< 100","desempregado",2,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",75,"nenhum","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",331
"332","Inexistente",18,"Pendente (outros bancos)","educação",1864,"100 - 500","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"imobiliária",30,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",332
