ID,status_conta,duracao_mes,hist_credito,qtdd_credito,percen_tx_rendim_disp,dev_fiadores,outros_par,n_creditos,classe
283,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,18,todos os créditos deste banco foram devidamente pagos,1445,4,nenhum,banco,1,Bom
284, inexistente,15,conta crítica/outros créditos existentes (não neste banco),1520,4,nenhum,nenhum,1,Bom
285,regular,24,conta crítica/outros créditos existentes (não neste banco),3878,4,nenhum,nenhum,1,Bom
286,negativo,47,créditos existentes pagos devidamente até agora,10722,1,nenhum,nenhum,1,Bom
287,negativo,48,créditos existentes pagos devidamente até agora,4788,4,nenhum,nenhum,1,Bom
288,regular,48,atraso no pagamento no passado,7582,2,nenhum,nenhum,1,Bom
289,regular,12,créditos existentes pagos devidamente até agora,1092,4,fiador,nenhum,2,Bom
290,negativo,24,atraso no pagamento no passado,1024,4,nenhum,lojas,1,Ruim
291, inexistente,12,créditos existentes pagos devidamente até agora,1076,2,nenhum,nenhum,1,Bom
292,regular,36,créditos existentes pagos devidamente até agora,9398,1,nenhum,nenhum,1,Ruim
293,negativo,24,conta crítica/outros créditos existentes (não neste banco),6419,2,nenhum,nenhum,2,Bom
294,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,42,conta crítica/outros créditos existentes (não neste banco),4796,4,nenhum,nenhum,1,Bom
295, inexistente,48,conta crítica/outros créditos existentes (não neste banco),7629,4,nenhum,banco,2,Bom
296,regular,48,créditos existentes pagos devidamente até agora,9960,1,nenhum,nenhum,1,Ruim
297, inexistente,12,créditos existentes pagos devidamente até agora,4675,1,nenhum,nenhum,1,Bom
298, inexistente,10,créditos existentes pagos devidamente até agora,1287,4,co-requerente,nenhum,1,Bom
299, inexistente,18,créditos existentes pagos devidamente até agora,2515,3,nenhum,nenhum,1,Bom
300,regular,21,conta crítica/outros créditos existentes (não neste banco),2745,3,nenhum,nenhum,2,Bom
301, inexistente,6,créditos existentes pagos devidamente até agora,672,1,nenhum,nenhum,1,Bom
302,regular,36,nenhum crédito obtido/todos os créditos pagos devidamente,3804,4,nenhum,nenhum,1,Ruim
303,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,conta crítica/outros créditos existentes (não neste banco),1344,4,nenhum,banco,2,Ruim
304,negativo,10,conta crítica/outros créditos existentes (não neste banco),1038,4,co-requerente,nenhum,2,Bom
305, inexistente,48,conta crítica/outros créditos existentes (não neste banco),10127,2,nenhum,banco,1,Ruim
306, inexistente,6,créditos existentes pagos devidamente até agora,1543,4,nenhum,nenhum,1,Bom
307, inexistente,30,créditos existentes pagos devidamente até agora,4811,2,nenhum,lojas,1,Bom
308,negativo,12,créditos existentes pagos devidamente até agora,727,4,nenhum,nenhum,1,Ruim
309,regular,8,créditos existentes pagos devidamente até agora,1237,3,nenhum,nenhum,1,Ruim
310,regular,9,créditos existentes pagos devidamente até agora,276,4,nenhum,nenhum,1,Bom
311,regular,48,créditos existentes pagos devidamente até agora,5381,3,nenhum,banco,1,Bom
312, inexistente,24,créditos existentes pagos devidamente até agora,5511,4,nenhum,lojas,1,Bom
313,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,créditos existentes pagos devidamente até agora,3749,2,nenhum,nenhum,1,Bom
314,regular,12,créditos existentes pagos devidamente até agora,685,2,nenhum,banco,1,Ruim
315,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,4,créditos existentes pagos devidamente até agora,1494,1,nenhum,nenhum,1,Bom
316,negativo,36,todos os créditos deste banco foram devidamente pagos,2746,4,nenhum,banco,1,Ruim
317,negativo,12,créditos existentes pagos devidamente até agora,708,2,fiador,nenhum,1,Bom
318,regular,24,créditos existentes pagos devidamente até agora,4351,1,nenhum,nenhum,1,Bom
319, inexistente,12,conta crítica/outros créditos existentes (não neste banco),701,4,nenhum,nenhum,2,Bom
320,negativo,15,atraso no pagamento no passado,3643,1,nenhum,nenhum,2,Bom
321,regular,30,conta crítica/outros créditos existentes (não neste banco),4249,4,nenhum,nenhum,2,Ruim
322,negativo,24,créditos existentes pagos devidamente até agora,1938,4,nenhum,nenhum,1,Ruim
323,negativo,24,créditos existentes pagos devidamente até agora,2910,2,nenhum,nenhum,1,Bom
324,negativo,18,créditos existentes pagos devidamente até agora,2659,4,nenhum,nenhum,1,Bom
325, inexistente,18,conta crítica/outros créditos existentes (não neste banco),1028,4,nenhum,nenhum,2,Bom
326,negativo,8,conta crítica/outros créditos existentes (não neste banco),3398,1,nenhum,nenhum,2,Bom
327, inexistente,12,conta crítica/outros créditos existentes (não neste banco),5801,2,nenhum,nenhum,1,Bom
328, inexistente,24,créditos existentes pagos devidamente até agora,1525,4,nenhum,nenhum,1,Bom
329,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,36,créditos existentes pagos devidamente até agora,4473,4,nenhum,nenhum,1,Bom
330,regular,6,créditos existentes pagos devidamente até agora,1068,4,nenhum,nenhum,1,Bom
331,negativo,24,conta crítica/outros créditos existentes (não neste banco),6615,2,nenhum,nenhum,2,Bom
332, inexistente,18,conta crítica/outros créditos existentes (não neste banco),1864,4,nenhum,nenhum,2,Ruim
333,regular,60,créditos existentes pagos devidamente até agora,7408,4,nenhum,nenhum,1,Ruim
334, inexistente,48,conta crítica/outros créditos existentes (não neste banco),11590,2,nenhum,banco,2,Ruim
335,negativo,24,nenhum crédito obtido/todos os créditos pagos devidamente,4110,3,nenhum,banco,2,Ruim
336,negativo,6,conta crítica/outros créditos existentes (não neste banco),3384,1,nenhum,nenhum,1,Ruim
337,regular,13,créditos existentes pagos devidamente até agora,2101,2,fiador,nenhum,1,Bom
338,negativo,15,créditos existentes pagos devidamente até agora,1275,4,nenhum,nenhum,1,Ruim
339,negativo,24,créditos existentes pagos devidamente até agora,4169,4,nenhum,nenhum,1,Bom
340,regular,10,créditos existentes pagos devidamente até agora,1521,4,nenhum,nenhum,1,Bom
341,regular,24,conta crítica/outros créditos existentes (não neste banco),5743,2,nenhum,nenhum,2,Bom
342,negativo,21,créditos existentes pagos devidamente até agora,3599,1,nenhum,nenhum,1,Bom
343,regular,18,créditos existentes pagos devidamente até agora,3213,1,nenhum,nenhum,1,Bom
344,regular,18,créditos existentes pagos devidamente até agora,4439,1,co-requerente,banco,1,Bom
345,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,10,créditos existentes pagos devidamente até agora,3949,1,fiador,nenhum,1,Bom
346, inexistente,15,conta crítica/outros créditos existentes (não neste banco),1459,4,nenhum,nenhum,1,Bom
347,regular,13,conta crítica/outros créditos existentes (não neste banco),882,4,fiador,nenhum,2,Bom
348,regular,24,créditos existentes pagos devidamente até agora,3758,1,nenhum,nenhum,1,Bom
349, inexistente,6,atraso no pagamento no passado,1743,1,nenhum,nenhum,2,Bom
350,regular,9,conta crítica/outros créditos existentes (não neste banco),1136,4,nenhum,nenhum,2,Ruim
351, inexistente,9,créditos existentes pagos devidamente até agora,1236,1,nenhum,nenhum,1,Bom
352,regular,9,créditos existentes pagos devidamente até agora,959,1,nenhum,nenhum,1,Ruim
353, inexistente,18,conta crítica/outros créditos existentes (não neste banco),3229,2,nenhum,nenhum,1,Bom
354,negativo,12,nenhum crédito obtido/todos os créditos pagos devidamente,6199,4,nenhum,nenhum,2,Ruim
355, inexistente,10,créditos existentes pagos devidamente até agora,727,4,nenhum,nenhum,1,Bom
356,regular,24,créditos existentes pagos devidamente até agora,1246,4,nenhum,lojas,1,Ruim
357, inexistente,12,conta crítica/outros créditos existentes (não neste banco),2331,1,co-requerente,nenhum,1,Bom
358, inexistente,36,atraso no pagamento no passado,4463,4,nenhum,nenhum,2,Ruim
359, inexistente,12,créditos existentes pagos devidamente até agora,776,4,nenhum,nenhum,1,Bom
360,negativo,30,créditos existentes pagos devidamente até agora,2406,4,nenhum,nenhum,1,Ruim
361,regular,18,créditos existentes pagos devidamente até agora,1239,4,nenhum,nenhum,1,Bom
362,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,3399,2,nenhum,nenhum,1,Bom
363,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,atraso no pagamento no passado,2247,2,nenhum,lojas,2,Bom
364, inexistente,6,créditos existentes pagos devidamente até agora,1766,1,nenhum,nenhum,1,Bom
365,negativo,18,créditos existentes pagos devidamente até agora,2473,4,nenhum,nenhum,1,Ruim
366, inexistente,12,créditos existentes pagos devidamente até agora,1542,2,nenhum,nenhum,1,Bom
367, inexistente,18,conta crítica/outros créditos existentes (não neste banco),3850,3,nenhum,nenhum,2,Bom
368,negativo,18,créditos existentes pagos devidamente até agora,3650,1,nenhum,nenhum,1,Bom
369,negativo,36,créditos existentes pagos devidamente até agora,3446,4,nenhum,nenhum,1,Ruim
370,regular,18,créditos existentes pagos devidamente até agora,3001,2,nenhum,nenhum,1,Bom
371, inexistente,36,créditos existentes pagos devidamente até agora,3079,4,nenhum,nenhum,1,Bom
372, inexistente,18,conta crítica/outros créditos existentes (não neste banco),6070,3,nenhum,nenhum,2,Bom
373, inexistente,10,conta crítica/outros créditos existentes (não neste banco),2146,1,nenhum,nenhum,2,Bom
374, inexistente,60,conta crítica/outros créditos existentes (não neste banco),13756,2,nenhum,banco,1,Bom
375,regular,60,todos os créditos deste banco foram devidamente pagos,14782,3,nenhum,banco,2,Ruim
376,negativo,48,todos os créditos deste banco foram devidamente pagos,7685,2,fiador,nenhum,1,Ruim
377, inexistente,18,atraso no pagamento no passado,2320,2,nenhum,nenhum,2,Bom
378, inexistente,7,atraso no pagamento no passado,846,3,nenhum,nenhum,1,Bom
379,regular,36,créditos existentes pagos devidamente até agora,14318,4,nenhum,nenhum,1,Ruim
380, inexistente,6,conta crítica/outros créditos existentes (não neste banco),362,4,nenhum,nenhum,2,Bom
381,negativo,20,créditos existentes pagos devidamente até agora,2212,4,nenhum,nenhum,1,Bom
382,regular,18,créditos existentes pagos devidamente até agora,12976,3,nenhum,nenhum,1,Ruim
383, inexistente,22,créditos existentes pagos devidamente até agora,1283,4,nenhum,nenhum,1,Bom
384,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,1330,4,nenhum,nenhum,1,Bom
385, inexistente,30,atraso no pagamento no passado,4272,2,nenhum,nenhum,2,Bom
386, inexistente,18,conta crítica/outros créditos existentes (não neste banco),2238,2,nenhum,nenhum,2,Bom
387, inexistente,18,créditos existentes pagos devidamente até agora,1126,4,nenhum,nenhum,1,Bom
388,regular,18,conta crítica/outros créditos existentes (não neste banco),7374,4,nenhum,lojas,2,Bom
389,regular,15,conta crítica/outros créditos existentes (não neste banco),2326,2,nenhum,banco,1,Bom
390, inexistente,9,créditos existentes pagos devidamente até agora,1449,3,nenhum,nenhum,2,Bom
391, inexistente,18,créditos existentes pagos devidamente até agora,1820,2,nenhum,nenhum,1,Bom
392,regular,12,créditos existentes pagos devidamente até agora,983,1,nenhum,nenhum,1,Bom
393,negativo,36,créditos existentes pagos devidamente até agora,3249,2,nenhum,banco,1,Bom
394,negativo,6,conta crítica/outros créditos existentes (não neste banco),1957,1,nenhum,nenhum,1,Bom
395, inexistente,9,conta crítica/outros créditos existentes (não neste banco),2406,2,nenhum,nenhum,1,Bom
396,regular,39,atraso no pagamento no passado,11760,2,nenhum,nenhum,1,Bom
397,negativo,12,créditos existentes pagos devidamente até agora,2578,3,nenhum,nenhum,1,Bom
398,negativo,36,conta crítica/outros créditos existentes (não neste banco),2348,3,nenhum,nenhum,2,Bom
399,regular,12,créditos existentes pagos devidamente até agora,1223,1,nenhum,nenhum,2,Ruim
400, inexistente,24,conta crítica/outros créditos existentes (não neste banco),1516,4,nenhum,nenhum,2,Bom
401, inexistente,18,créditos existentes pagos devidamente até agora,1473,3,nenhum,nenhum,1,Bom
402,regular,18,conta crítica/outros créditos existentes (não neste banco),1887,4,nenhum,banco,2,Bom
403, inexistente,24,atraso no pagamento no passado,8648,2,nenhum,banco,2,Ruim
404, inexistente,14,atraso no pagamento no passado,802,4,nenhum,nenhum,2,Bom
405,regular,18,atraso no pagamento no passado,2899,4,nenhum,nenhum,1,Bom
406,regular,24,créditos existentes pagos devidamente até agora,2039,1,nenhum,nenhum,1,Ruim
407, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2197,4,nenhum,nenhum,2,Bom
408,negativo,15,créditos existentes pagos devidamente até agora,1053,4,nenhum,nenhum,1,Bom
409, inexistente,24,créditos existentes pagos devidamente até agora,3235,3,nenhum,nenhum,1,Bom
410,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,conta crítica/outros créditos existentes (não neste banco),939,4,nenhum,nenhum,3,Ruim
411,regular,24,créditos existentes pagos devidamente até agora,1967,4,nenhum,nenhum,1,Bom
412, inexistente,33,conta crítica/outros créditos existentes (não neste banco),7253,3,nenhum,nenhum,2,Bom
413, inexistente,12,conta crítica/outros créditos existentes (não neste banco),2292,4,nenhum,lojas,2,Ruim
414, inexistente,10,créditos existentes pagos devidamente até agora,1597,3,nenhum,nenhum,1,Bom
415,negativo,24,créditos existentes pagos devidamente até agora,1381,4,nenhum,nenhum,1,Ruim
416, inexistente,36,conta crítica/outros créditos existentes (não neste banco),5842,2,nenhum,nenhum,2,Bom
417,negativo,12,créditos existentes pagos devidamente até agora,2579,4,nenhum,nenhum,1,Ruim
418,negativo,18,atraso no pagamento no passado,8471,1,nenhum,nenhum,2,Bom
419, inexistente,21,créditos existentes pagos devidamente até agora,2782,1,nenhum,banco,1,Bom
420,regular,18,créditos existentes pagos devidamente até agora,1042,4,nenhum,nenhum,1,Ruim
421, inexistente,15,créditos existentes pagos devidamente até agora,3186,2,nenhum,nenhum,1,Bom
422,regular,12,créditos existentes pagos devidamente até agora,2028,4,nenhum,nenhum,1,Bom
423,regular,12,conta crítica/outros créditos existentes (não neste banco),958,2,nenhum,nenhum,2,Bom
424, inexistente,21,atraso no pagamento no passado,1591,4,nenhum,nenhum,2,Bom
425,regular,12,créditos existentes pagos devidamente até agora,2762,1,nenhum,banco,1,Ruim
426,regular,18,créditos existentes pagos devidamente até agora,2779,1,nenhum,nenhum,1,Bom
427, inexistente,28,conta crítica/outros créditos existentes (não neste banco),2743,4,nenhum,nenhum,2,Bom
428, inexistente,18,conta crítica/outros créditos existentes (não neste banco),1149,4,nenhum,nenhum,2,Bom
429, inexistente,9,créditos existentes pagos devidamente até agora,1313,1,nenhum,nenhum,1,Bom
430,negativo,18,conta crítica/outros créditos existentes (não neste banco),1190,2,nenhum,nenhum,3,Ruim
431, inexistente,5,créditos existentes pagos devidamente até agora,3448,1,nenhum,nenhum,1,Bom
432,regular,24,créditos existentes pagos devidamente até agora,11328,2,co-requerente,banco,2,Ruim
433,negativo,6,conta crítica/outros créditos existentes (não neste banco),1872,4,nenhum,nenhum,3,Bom
434, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2058,4,nenhum,nenhum,2,Bom
435,negativo,9,créditos existentes pagos devidamente até agora,2136,3,nenhum,nenhum,1,Bom
436,regular,12,créditos existentes pagos devidamente até agora,1484,2,nenhum,nenhum,1,Ruim
437, inexistente,6,créditos existentes pagos devidamente até agora,660,2,nenhum,nenhum,1,Bom
438, inexistente,24,conta crítica/outros créditos existentes (não neste banco),1287,4,nenhum,nenhum,2,Bom
439,negativo,42,conta crítica/outros créditos existentes (não neste banco),3394,4,co-requerente,nenhum,2,Bom
440,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,todos os créditos deste banco foram devidamente pagos,609,4,nenhum,nenhum,1,Ruim
441, inexistente,12,créditos existentes pagos devidamente até agora,1884,4,nenhum,nenhum,1,Bom
442,negativo,12,créditos existentes pagos devidamente até agora,1620,2,co-requerente,nenhum,1,Bom
443,regular,20,atraso no pagamento no passado,2629,2,nenhum,banco,2,Bom
444, inexistente,12,créditos existentes pagos devidamente até agora,719,4,nenhum,banco,1,Ruim
445,regular,48,conta crítica/outros créditos existentes (não neste banco),5096,2,nenhum,nenhum,1,Ruim
446, inexistente,9,conta crítica/outros créditos existentes (não neste banco),1244,4,nenhum,nenhum,2,Bom
447,negativo,36,créditos existentes pagos devidamente até agora,1842,4,nenhum,nenhum,1,Ruim
448,regular,7,créditos existentes pagos devidamente até agora,2576,2,fiador,nenhum,1,Bom
449,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,1424,3,nenhum,nenhum,1,Bom
450,regular,15,atraso no pagamento no passado,1512,3,nenhum,lojas,2,Ruim
451, inexistente,36,conta crítica/outros créditos existentes (não neste banco),11054,4,nenhum,nenhum,1,Bom
452, inexistente,6,créditos existentes pagos devidamente até agora,518,3,nenhum,nenhum,1,Bom
453, inexistente,12,nenhum crédito obtido/todos os créditos pagos devidamente,2759,2,nenhum,nenhum,2,Bom
454, inexistente,24,créditos existentes pagos devidamente até agora,2670,4,nenhum,nenhum,1,Bom
455,negativo,24,créditos existentes pagos devidamente até agora,4817,2,co-requerente,nenhum,1,Ruim
456, inexistente,24,créditos existentes pagos devidamente até agora,2679,4,nenhum,nenhum,1,Bom
457,negativo,11,conta crítica/outros créditos existentes (não neste banco),3905,2,nenhum,nenhum,2,Bom
458,negativo,12,créditos existentes pagos devidamente até agora,3386,3,nenhum,nenhum,1,Ruim
459,negativo,6,créditos existentes pagos devidamente até agora,343,4,nenhum,nenhum,1,Bom
460, inexistente,18,créditos existentes pagos devidamente até agora,4594,3,nenhum,nenhum,1,Bom
461,negativo,36,créditos existentes pagos devidamente até agora,3620,1,fiador,nenhum,1,Bom
462,negativo,15,créditos existentes pagos devidamente até agora,1721,2,nenhum,nenhum,1,Bom
463,regular,12,créditos existentes pagos devidamente até agora,3017,3,nenhum,nenhum,1,Bom
464,regular,12,créditos existentes pagos devidamente até agora,754,4,nenhum,nenhum,2,Bom
465, inexistente,18,créditos existentes pagos devidamente até agora,1950,4,nenhum,lojas,2,Bom
466,negativo,24,créditos existentes pagos devidamente até agora,2924,3,fiador,banco,1,Bom
467,negativo,24,atraso no pagamento no passado,1659,4,nenhum,nenhum,1,Ruim
468, inexistente,48,atraso no pagamento no passado,7238,3,nenhum,banco,2,Bom
469, inexistente,33,atraso no pagamento no passado,2764,2,nenhum,nenhum,2,Bom
470, inexistente,24,atraso no pagamento no passado,4679,3,nenhum,nenhum,2,Bom
471,regular,24,créditos existentes pagos devidamente até agora,3092,3,nenhum,nenhum,1,Ruim
472,negativo,6,créditos existentes pagos devidamente até agora,448,4,nenhum,nenhum,1,Ruim
473,negativo,9,créditos existentes pagos devidamente até agora,654,4,nenhum,nenhum,1,Ruim
474, inexistente,6,créditos existentes pagos devidamente até agora,1238,4,nenhum,nenhum,1,Bom
475,regular,18,conta crítica/outros créditos existentes (não neste banco),1245,4,nenhum,nenhum,1,Ruim
476,negativo,18,nenhum crédito obtido/todos os créditos pagos devidamente,3114,1,nenhum,nenhum,1,Ruim
477, inexistente,39,créditos existentes pagos devidamente até agora,2569,4,nenhum,nenhum,1,Bom
478,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,créditos existentes pagos devidamente até agora,5152,4,nenhum,banco,1,Bom
479,regular,12,créditos existentes pagos devidamente até agora,1037,3,nenhum,nenhum,1,Bom
480,negativo,15,conta crítica/outros créditos existentes (não neste banco),1478,4,nenhum,nenhum,2,Bom
481,regular,12,conta crítica/outros créditos existentes (não neste banco),3573,1,nenhum,nenhum,1,Bom
482,regular,24,créditos existentes pagos devidamente até agora,1201,4,nenhum,nenhum,1,Bom
483,negativo,30,créditos existentes pagos devidamente até agora,3622,4,nenhum,nenhum,2,Bom
484, inexistente,15,atraso no pagamento no passado,960,3,nenhum,nenhum,2,Bom
485, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1163,4,nenhum,nenhum,1,Bom
486,regular,6,atraso no pagamento no passado,1209,4,nenhum,nenhum,1,Ruim
487, inexistente,12,créditos existentes pagos devidamente até agora,3077,2,nenhum,nenhum,1,Bom
488, inexistente,24,créditos existentes pagos devidamente até agora,3757,4,co-requerente,nenhum,1,Bom
489, inexistente,10,créditos existentes pagos devidamente até agora,1418,3,nenhum,nenhum,1,Bom
490, inexistente,6,créditos existentes pagos devidamente até agora,3518,2,fiador,nenhum,1,Bom
491, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1934,2,nenhum,nenhum,2,Bom
492,regular,27,nenhum crédito obtido/todos os créditos pagos devidamente,8318,2,nenhum,nenhum,2,Ruim
493, inexistente,6,conta crítica/outros créditos existentes (não neste banco),1237,1,nenhum,nenhum,2,Bom
494,regular,6,créditos existentes pagos devidamente até agora,368,4,nenhum,nenhum,1,Bom
495,negativo,12,conta crítica/outros créditos existentes (não neste banco),2122,3,nenhum,nenhum,2,Bom
496,negativo,24,créditos existentes pagos devidamente até agora,2996,2,nenhum,nenhum,1,Ruim
497,regular,36,créditos existentes pagos devidamente até agora,9034,4,co-requerente,nenhum,1,Ruim
498, inexistente,24,conta crítica/outros créditos existentes (não neste banco),1585,4,nenhum,nenhum,2,Bom
499,regular,18,créditos existentes pagos devidamente até agora,1301,4,fiador,nenhum,1,Bom
500,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,6,conta crítica/outros créditos existentes (não neste banco),1323,2,nenhum,nenhum,2,Bom
501,negativo,24,créditos existentes pagos devidamente até agora,3123,4,nenhum,nenhum,1,Ruim
502,negativo,36,créditos existentes pagos devidamente até agora,5493,2,nenhum,nenhum,1,Bom
503,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,9,créditos existentes pagos devidamente até agora,1126,2,nenhum,nenhum,1,Bom
504,regular,24,conta crítica/outros créditos existentes (não neste banco),1216,4,nenhum,banco,2,Ruim
505,negativo,24,créditos existentes pagos devidamente até agora,1207,4,nenhum,nenhum,1,Ruim
506, inexistente,10,créditos existentes pagos devidamente até agora,1309,4,fiador,nenhum,1,Ruim
507,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,15,conta crítica/outros créditos existentes (não neste banco),2360,2,nenhum,nenhum,1,Bom
508,regular,15,todos os créditos deste banco foram devidamente pagos,6850,1,nenhum,nenhum,1,Ruim
509, inexistente,24,créditos existentes pagos devidamente até agora,1413,4,nenhum,nenhum,1,Bom
510, inexistente,39,créditos existentes pagos devidamente até agora,8588,4,nenhum,nenhum,1,Bom
511,negativo,12,créditos existentes pagos devidamente até agora,759,4,nenhum,nenhum,1,Ruim
512, inexistente,36,créditos existentes pagos devidamente até agora,4686,2,nenhum,nenhum,1,Bom
513,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,15,créditos existentes pagos devidamente até agora,2687,2,nenhum,nenhum,1,Bom
514,regular,12,atraso no pagamento no passado,585,4,co-requerente,nenhum,2,Bom
515, inexistente,24,créditos existentes pagos devidamente até agora,2255,4,nenhum,nenhum,1,Bom
516,negativo,6,conta crítica/outros créditos existentes (não neste banco),609,4,nenhum,nenhum,2,Bom
517,negativo,6,conta crítica/outros créditos existentes (não neste banco),1361,2,nenhum,nenhum,1,Bom
518, inexistente,36,conta crítica/outros créditos existentes (não neste banco),7127,2,nenhum,nenhum,2,Ruim
519,negativo,6,créditos existentes pagos devidamente até agora,1203,3,nenhum,nenhum,1,Bom
520, inexistente,6,conta crítica/outros créditos existentes (não neste banco),700,4,nenhum,nenhum,2,Bom
521, inexistente,24,conta crítica/outros créditos existentes (não neste banco),5507,3,nenhum,nenhum,2,Bom
522,negativo,18,créditos existentes pagos devidamente até agora,3190,2,nenhum,nenhum,1,Ruim
523,negativo,48,nenhum crédito obtido/todos os créditos pagos devidamente,7119,3,nenhum,nenhum,2,Ruim
524, inexistente,24,créditos existentes pagos devidamente até agora,3488,3,nenhum,nenhum,1,Bom
525,regular,18,créditos existentes pagos devidamente até agora,1113,4,fiador,nenhum,1,Bom
526,regular,26,créditos existentes pagos devidamente até agora,7966,2,nenhum,nenhum,2,Bom
527, inexistente,15,conta crítica/outros créditos existentes (não neste banco),1532,4,nenhum,nenhum,1,Bom
528, inexistente,4,conta crítica/outros créditos existentes (não neste banco),1503,2,nenhum,nenhum,2,Bom
529,negativo,36,créditos existentes pagos devidamente até agora,2302,4,nenhum,nenhum,1,Ruim
530,negativo,6,créditos existentes pagos devidamente até agora,662,3,nenhum,nenhum,1,Bom
531,regular,36,créditos existentes pagos devidamente até agora,2273,3,nenhum,nenhum,2,Bom
532,regular,15,créditos existentes pagos devidamente até agora,2631,2,nenhum,nenhum,2,Ruim
533, inexistente,12,atraso no pagamento no passado,1503,4,nenhum,nenhum,1,Bom
534, inexistente,24,créditos existentes pagos devidamente até agora,1311,4,nenhum,nenhum,1,Bom
535, inexistente,24,créditos existentes pagos devidamente até agora,3105,4,nenhum,nenhum,2,Bom
536,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,21,conta crítica/outros créditos existentes (não neste banco),2319,2,nenhum,nenhum,1,Ruim
537,negativo,6,créditos existentes pagos devidamente até agora,1374,4,nenhum,nenhum,1,Bom
538,regular,18,conta crítica/outros créditos existentes (não neste banco),3612,3,nenhum,nenhum,1,Bom
539,negativo,48,créditos existentes pagos devidamente até agora,7763,4,nenhum,banco,1,Ruim
540,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,18,créditos existentes pagos devidamente até agora,3049,1,nenhum,lojas,1,Bom
541,regular,12,créditos existentes pagos devidamente até agora,1534,1,nenhum,nenhum,1,Ruim
542, inexistente,24,atraso no pagamento no passado,2032,4,nenhum,nenhum,2,Bom
543,negativo,30,créditos existentes pagos devidamente até agora,6350,4,nenhum,nenhum,1,Ruim
544,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,18,créditos existentes pagos devidamente até agora,2864,2,nenhum,nenhum,1,Ruim
545, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1255,4,nenhum,nenhum,2,Bom
546,negativo,24,atraso no pagamento no passado,1333,4,nenhum,nenhum,2,Ruim
547, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2022,4,nenhum,nenhum,1,Bom
548, inexistente,24,créditos existentes pagos devidamente até agora,1552,3,nenhum,banco,1,Bom
549,negativo,12,todos os créditos deste banco foram devidamente pagos,626,4,nenhum,banco,1,Ruim
550, inexistente,48,conta crítica/outros créditos existentes (não neste banco),8858,2,nenhum,nenhum,2,Bom
551, inexistente,12,conta crítica/outros créditos existentes (não neste banco),996,4,nenhum,nenhum,2,Bom
552, inexistente,6,todos os créditos deste banco foram devidamente pagos,1750,2,nenhum,banco,1,Bom
553,negativo,48,créditos existentes pagos devidamente até agora,6999,1,fiador,nenhum,2,Ruim
554,regular,12,conta crítica/outros créditos existentes (não neste banco),1995,4,nenhum,nenhum,1,Bom
555,regular,9,créditos existentes pagos devidamente até agora,1199,4,nenhum,nenhum,2,Bom
556,regular,12,créditos existentes pagos devidamente até agora,1331,2,nenhum,lojas,1,Ruim
557,regular,18,nenhum crédito obtido/todos os créditos pagos devidamente,2278,3,nenhum,nenhum,2,Ruim
558, inexistente,21,nenhum crédito obtido/todos os créditos pagos devidamente,5003,1,nenhum,banco,2,Ruim
559,negativo,24,todos os créditos deste banco foram devidamente pagos,3552,3,nenhum,banco,1,Ruim
560,regular,18,conta crítica/outros créditos existentes (não neste banco),1928,2,nenhum,nenhum,2,Ruim
561,negativo,24,créditos existentes pagos devidamente até agora,2964,4,nenhum,banco,1,Bom
562,negativo,24,todos os créditos deste banco foram devidamente pagos,1546,4,fiador,banco,1,Ruim
563,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,6,atraso no pagamento no passado,683,2,nenhum,banco,1,Bom
564,regular,36,créditos existentes pagos devidamente até agora,12389,1,nenhum,nenhum,1,Ruim
