ID,habitacao,tempo_res_atual,patrimonio,telefone,proposito,reserva,n_corresponsaveis,classe
269,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
270,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
271,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
272,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,1,Bom
273,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
274,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
275,própria,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",reparos,< 100,1,Ruim
276,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,2,Bom
277,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
278,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
279,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
280,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Bom
281,alugada,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),> 1000,1,Bom
282,própria,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
283,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
284,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
285,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
286,própria,1,imobiliária,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
287,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),< 100,2,Bom
288,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado)0,100 - 500,1,Bom
289,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
290,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
291,própria,2,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
292,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Ruim
293,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,2,Bom
294,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),< 100,1,Bom
295,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,desconhecido/semcontapoupança,2,Bom
296,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
297,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
298,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
299,própria,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
300,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,> 1000,1,Bom
301,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
302,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
303,própria,2,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,2,Ruim
304,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
305,de graça,2,desconhecido/sem propriedade,Nenhum,carro (novo),500 - 1000,1,Ruim
306,própria,2,imobiliária,Nenhum,móveis/equipamentos,> 1000,1,Bom
307,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
308,própria,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Ruim
309,própria,4,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Ruim
310,alugada,4,imobiliária,Nenhum,carro (novo),< 100,1,Bom
311,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado)0,desconhecido/semcontapoupança,1,Bom
312,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,100 - 500,1,Bom
313,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
314,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
315,própria,2,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,2,Bom
316,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
317,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,2,Bom
318,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
319,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,< 100,1,Bom
320,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
321,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
322,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Ruim
323,de graça,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
324,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,> 1000,1,Bom
325,própria,3,imobiliária,Nenhum,carro (novo),< 100,1,Bom
326,própria,4,imobiliária,Nenhum,carro (novo),< 100,1,Bom
327,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
328,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),> 1000,2,Bom
329,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
330,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,2,Bom
331,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
332,própria,2,imobiliária,Nenhum,educação,100 - 500,1,Ruim
333,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),100 - 500,1,Ruim
334,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),100 - 500,1,Ruim
335,alugada,4,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,< 100,2,Ruim
336,alugada,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
337,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
338,alugada,2,"carro ou outro, não em conta poupança/títulos",Nenhum,eletrodomésticos,desconhecido/semcontapoupança,1,Ruim
339,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
340,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
341,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,< 100,1,Bom
342,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
343,alugada,3,imobiliária,Nenhum,rádio/televisão,500 - 1000,1,Bom
344,própria,1,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
345,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,2,Bom
346,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
347,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
348,alugada,4,desconhecido/sem propriedade,Nenhum,rádio/televisão,500 - 1000,1,Bom
349,própria,2,imobiliária,Nenhum,negócios,100 - 500,1,Bom
350,de graça,3,desconhecido/sem propriedade,Nenhum,educação,> 1000,2,Ruim
351,alugada,4,imobiliária,"Sim, registrado em nome do cliente",eletrodomésticos,< 100,1,Bom
352,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
353,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
354,alugada,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
355,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,500 - 1000,1,Bom
356,própria,2,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
357,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
358,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
359,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
360,alugada,4,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Ruim
361,de graça,4,desconhecido/sem propriedade,Nenhum,educação,desconhecido/semcontapoupança,1,Bom
362,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
363,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
364,alugada,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
365,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
366,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Bom
367,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),< 100,1,Bom
368,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
369,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,2,Ruim
370,alugada,4,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
371,própria,4,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
372,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
373,alugada,3,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
374,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
375,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado)0,100 - 500,1,Ruim
376,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,1,Ruim
377,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
378,de graça,4,desconhecido/sem propriedade,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
379,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
380,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),100 - 500,1,Bom
381,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
382,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Ruim
383,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
384,própria,1,imobiliária,Nenhum,carro (novo),< 100,1,Bom
385,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,100 - 500,1,Bom
386,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
387,alugada,2,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
388,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
389,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,500 - 1000,1,Bom
390,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,1,Bom
391,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
392,alugada,4,imobiliária,Nenhum,móveis/equipamentos,> 1000,1,Bom
393,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,2,Bom
394,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
395,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
396,alugada,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,100 - 500,1,Bom
397,de graça,4,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,< 100,1,Bom
398,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
399,alugada,1,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
400,própria,1,imobiliária,Nenhum,rádio/televisão,> 1000,1,Bom
401,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
402,própria,4,imobiliária,Nenhum,negócios,desconhecido/semcontapoupança,1,Bom
403,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
404,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Bom
405,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),desconhecido/semcontapoupança,2,Bom
406,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
407,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
408,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
409,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,1,Bom
410,própria,2,imobiliária,"Sim, registrado em nome do cliente",carro (novo),500 - 1000,1,Ruim
411,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
412,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
413,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
414,alugada,2,desconhecido/sem propriedade,Nenhum,carro (novo),500 - 1000,2,Bom
415,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
416,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),< 100,2,Bom
417,própria,1,imobiliária,Nenhum,carro (novo),< 100,2,Ruim
418,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",educação,desconhecido/semcontapoupança,1,Bom
419,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),500 - 1000,1,Bom
420,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
421,alugada,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),> 1000,1,Bom
422,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
423,própria,3,imobiliária,Nenhum,carro (novo),< 100,2,Bom
424,própria,3,imobiliária,Nenhum,móveis/equipamentos,100 - 500,1,Bom
425,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Ruim
426,alugada,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
427,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
428,própria,3,imobiliária,Nenhum,rádio/televisão,> 1000,1,Bom
429,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
430,de graça,4,desconhecido/sem propriedade,Nenhum,reparos,< 100,2,Ruim
431,própria,4,imobiliária,Nenhum,negócios,< 100,1,Bom
432,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado)0,< 100,1,Ruim
433,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
434,própria,2,imobiliária,"Sim, registrado em nome do cliente",reparos,< 100,1,Bom
435,própria,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
436,própria,1,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Ruim
437,alugada,4,imobiliária,Nenhum,reparos,500 - 1000,1,Bom
438,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),> 1000,1,Bom
439,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,reparos,< 100,1,Bom
440,própria,1,imobiliária,Nenhum,negócios,< 100,1,Ruim
441,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
442,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
443,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado)0,< 100,1,Bom
444,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,< 100,2,Ruim
445,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
446,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,educação,desconhecido/semcontapoupança,1,Bom
447,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
448,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
449,própria,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
450,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,reparos,> 1000,1,Ruim
451,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
452,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
453,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
454,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
455,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
456,própria,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
457,alugada,2,imobiliária,Nenhum,carro (novo),< 100,2,Bom
458,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Ruim
459,própria,1,imobiliária,Nenhum,eletrodomésticos,< 100,1,Bom
460,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
461,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,2,Bom
462,própria,3,imobiliária,Nenhum,carro (novo),< 100,1,Bom
463,alugada,1,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
464,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,reciclagem,desconhecido/semcontapoupança,1,Bom
465,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Bom
466,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,2,Bom
467,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
468,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,2,Bom
469,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Bom
470,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
471,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Ruim
472,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,educação,< 100,1,Ruim
473,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
474,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",reciclagem,desconhecido/semcontapoupança,2,Bom
475,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
476,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
477,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),500 - 1000,1,Bom
478,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
479,própria,4,imobiliária,Nenhum,negócios,100 - 500,1,Bom
480,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,2,Bom
481,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
482,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
483,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,> 1000,1,Bom
484,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,> 1000,1,Bom
485,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),500 - 1000,1,Bom
486,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
487,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
488,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
489,alugada,2,imobiliária,Nenhum,carro (novo),100 - 500,1,Bom
490,alugada,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
491,própria,2,desconhecido/sem propriedade,Nenhum,rádio/televisão,< 100,1,Bom
492,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
493,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,100 - 500,1,Bom
494,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
495,alugada,2,imobiliária,Nenhum,carro (novo),< 100,2,Bom
496,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Ruim
497,alugada,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,100 - 500,1,Ruim
498,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
499,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
500,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,2,Bom
501,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Ruim
502,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),< 100,2,Bom
503,própria,4,imobiliária,Nenhum,rádio/televisão,100 - 500,1,Bom
504,própria,4,desconhecido/sem propriedade,Nenhum,rádio/televisão,100 - 500,2,Ruim
505,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Ruim
506,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
507,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),500 - 1000,1,Bom
508,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),100 - 500,2,Ruim
509,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
510,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),100 - 500,1,Bom
511,própria,2,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
512,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
513,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
514,alugada,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
515,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
516,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
517,própria,4,imobiliária,Nenhum,carro (novo),< 100,2,Bom
518,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
519,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
520,de graça,4,desconhecido/sem propriedade,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
521,de graça,4,desconhecido/sem propriedade,Nenhum,reparos,< 100,1,Bom
522,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
523,de graça,4,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,< 100,2,Ruim
524,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),100 - 500,1,Bom
525,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,2,Bom
526,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),< 100,1,Bom
527,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,100 - 500,1,Bom
528,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,2,Bom
529,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
530,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),< 100,2,Bom
531,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,< 100,2,Bom
532,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Ruim
533,alugada,4,imobiliária,Nenhum,carro (usado),< 100,1,Bom
534,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Bom
535,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
